idseq,station,cruise_st,date,lat,long,alt,dist,soc,fronts,sst,ssta,sss,spp,prt_tot,sd,prt_idro,prt_ref,sd,cho_tot,sd,cho_idro,cho_ref,sd,pn,sd,poc,sd,poc_pn,sd,prt/cho,poc_c_dom,c_dom,chla,biomass_tot,chla_micro,chla_nano,chla_pico
5,5,20,01/01/17,-51.81,175.01,5,0,NSAF,SPO,7.9,-0.8,34.4,398.144,66.839405602786,15.6287959901093,21.2147087694446,45.6246968333413,4.02006169209135,41.602674755827,6.39686885117571,1.89166418183187,39.7110105739951,2.21292241770353,9.0019083172467,1.58312459246877,69.7734377435885,5.73473962368116,7.81580867554708,0.737472441025563,1.60661318040433,6.27840396847464,11.1132444,0.32,0.319891829344359,12.9834722567611,30.8135943421915,56.2029334010474
6,6,22,01/01/17,-52.31,175.07,5,30.2089581990448,NSAF,SPO,7.5,-0.7,34.3,323.145,56.5786371738843,2.27875154738845,22.2027827663018,34.3758544075825,0.644929683222642,35.9834311882286,10.6345704850778,4.52326934302733,31.4601618452013,0.591307204730545,6.71262852957475,0.154103465904958,57.2189770505875,14.4709145814791,8.50157416306029,1.9606019429377,1.57235247739224,7.04662172588361,8.1200579904,0.409,0.409238408848624,1.63256280505196,54.1422331326093,44.2252040623388
7,7,24,01/02/17,-52.73,175.07,5,25.5039970037833,NSAF,SPO,7.5,-0.7,34.3,290.039,48.6436429222004,7.69616088646376,21.7832313460979,26.8604115761025,2.0637749863143,33.7122938500279,4.23322203386632,4.08107858652409,29.6312152635038,2.7863112222908,4.90818258244561,0.415468375038979,52.7575628171909,11.3633755307468,10.6892072785277,1.41036887605612,1.44290516505925,6.06614471510894,8.69704982239999,0.583638564,0.362156391373329,12.6612147992777,40.0594196086157,47.2793655921066
10,10,36,01/03/17,-56.17,175.80,5,208.226833890486,NSAF,SPO,6.9,0,33.9,282.894,46.7587017589651,7.91113744753808,19.7888419862877,26.9698597726775,5.417409339075,18.0487315942365,0.37628640301024,0.318022578459349,17.7307090157772,0.080632800645074,7.37875502402351,1.27491766065882,46.4065170697417,14.8557294853295,6.20793969698507,0.940689521028901,2.59069184528715,5.46788474006237,8.48710594240002,0.686384046,0.610203495156386,14.2160035059266,64.6418751462862,21.1421213477872
12,12,44,01/03/17,-58.83,176.69,5,162.590145896307,SSAF,SAF,4.9,-0.3,34,265.151,56.5634360354711,12.5761288228527,10.9265782913993,45.6368577440719,16.4887022344069,34.3743129625579,1.04822640838581,7.41081299366019,26.9634999688977,1.9710240157684,14.8679177543092,0.722317567061234,90.0817218036104,7.06572157313373,6.05439973741391,0.181096124506687,1.6455146637282,7.68748059456106,11.7179771312,1.4414336,0.498734662667703,15.2844655320356,56.3817150845319,28.3338193834325
15,15,56,01/04/17,-64.21,178.34,5,326.634378165088,PF,PF,1.7,0.6,33.8,211.153,56.8066542500822,5.86886011733128,5.99836921784384,50.8082850322383,0.300967185505071,58.6694641257369,0.662980805304333,16.0645747899842,42.6048893357527,6.72835925382771,17.9360839939752,0.058241847352861,97.7069407290037,2.58681572653861,5.44776974998307,0.161914044431599,0.968249072947685,5.83794416030582,16.7365322528,1.55813218,0.769621644061744,23.1280550108142,62.6581482519084,14.2137967372774
16,16,60,01/05/17,-65.97,178.54,5,105.777591846298,SACCF,SACCF,-0.4,0,33.6,275.815,98.0169404882338,13.1565655377536,15.8760689587331,82.1408715295006,10.3188749315714,63.2054036910136,5.68013284544165,13.5799442068815,49.6254594841321,1.80975841447835,28.9016710685732,2.72246774835463,216.075104825882,28.0421862747487,7.46362986076654,0.267205819166378,1.55076836416393,12.4131603907909,17.4069373168,1.062987736,0.635125257448374,24.5075646584345,56.6817325839482,18.8107027576173
17,17,64,01/05/17,-67.42,178.91,5,87.7599259670101,SACCF,SBDY,-1.3,-0.3,33,285.451,49.8597339952554,2.8376906061823,13.8634382328271,35.9962957624283,0.386957809933797,59.0559059043429,10.2493248819958,26.7316349017341,32.3242710026088,4.49751843598066,16.5859772122565,1.43708372189273,79.8071854491416,0.063724482870837,4.83002305160827,0.42233700776626,0.844280232971395,5.35735068660274,14.8967633664,0.547638102,0.786650894181746,31.2443679828505,51.4355360463269,17.3200959708226
18,18,68,01/05/17,-68.38,179.78,5,60.6699220955481,RSG,SBDY,-1.6,-0.5,33.2,249.013,53.6296163217259,11.6087342980179,8.12348836800747,45.5061279537185,7.43818901317442,54.3172427830761,3.26114882608963,7.83779948346417,46.4794432996119,12.4532880996278,22.2711750294348,4.23269239482998,106.545073557516,28.1326522816812,4.74973395821701,0.360487916271129,0.987340549223083,8.79109859937684,12.1196540288,1.44171556,0.515088279149388,21.4201901843637,55.2908435324178,23.2889662832185
19,19,73,01/06/17,-69.76,177.90,5,92.1570300698378,RSG,SBDY,-1.8,-0.6,33.8,244.421,36.5739390221294,4.68648903142199,23.0874890219494,13.4864500001801,1.28985936644645,43.6995965380988,5.30384644243141,9.30247717549207,34.3971193626067,5.8951536471619,10.4851163471242,0.459162470991181,50.8726216599457,5.75739323366021,4.84451123296211,0.336951481340326,0.836939970149222,5.04686832392815,10.08003744,0.629949964,0.394884499890761,19.79857346117,51.3246099868346,28.8768165519953
